"X","age","gender","income","region","service","wait_minutes","price_fair","visits","satisfied"
55,47,"F",23656,"west",4,6.2,1,5,"no"
56,44,"M",34183,"south",3,9.8,4,6,"yes"
57,19,"F",25372,"south",5,3.4,2,6,"yes"
58,42,"M",28843,"east",3,18.2,4,3,"yes"
59,40,"F",35348,"west",3,16.8,4,9,"yes"
60,27,"M",91501,"west",5,5.9,4,7,"yes"
61,39,"M",48532,"south",2,13,4,3,"yes"
62,40,"F",37971,"north",3,0.5,1,6,"yes"
63,45,"F",58961,"east",1,6.3,1,3,"no"
64,46,"M",61051,"west",3,0.2,1,7,"no"
65,42,"M",26569,"west",3,17,2,3,"no"
66,51,"M",35283,"east",5,18.8,2,4,"yes"
67,47,"F",23814,"east",5,0.2,3,3,"yes"
68,52,"M",39886,"west",2,12.5,4,7,"no"
69,53,"F",29264,"north",4,17.7,2,7,"yes"
70,46,"M",14722,"west",1,0.2,1,6,"no"
71,43,"M",33328,"north",3,9.5,3,1,"yes"
72,27,"M",25116,"west",3,1.5,5,1,"yes"
73,31,"M",36253,"east",2,0.1,1,4,"no"
74,28,"M",34902,"east",5,2,3,6,"yes"
75,18,"F",32927,"south",4,7.6,5,4,"yes"
76,22,"M",15753,"north",4,13.9,3,2,"yes"
77,27,"M",22809,"south",4,0.6,5,1,"yes"
78,31,"F",24919,"east",4,4.5,1,5,"no"
79,37,"M",34343,"east",1,10.1,4,3,"no"
80,67,"F",28700,"west",5,1.7,1,4,"yes"
81,42,"F",23554,"north",1,5.4,4,3,"no"
82,38,"F",16554,"east",3,1.2,5,3,"yes"
83,38,"F",47360,"north",2,1.4,5,2,"yes"
84,33,"F",29940,"south",3,7.2,2,4,"yes"
85,28,"M",17644,"north",4,9.2,1,2,"yes"
86,34,"M",62308,"east",2,2.3,1,6,"no"
87,34,"F",43819,"west",2,8.8,3,1,"yes"
88,34,"F",22105,"east",4,17,2,2,"yes"
89,17,"F",62887,"north",5,5.8,4,4,"yes"
90,45,"F",26267,"north",5,35.6,2,2,"yes"
91,58,"M",36221,"north",4,7.1,3,5,"yes"
92,30,"F",33937,"south",1,4.6,1,3,"yes"
93,45,"F",69540,"east",1,12.4,1,6,"no"
94,41,"M",14034,"west",3,3.4,1,5,"yes"
95,48,"M",66567,"east",1,13.6,4,5,"yes"
96,31,"F",27013,"north",4,2.8,3,3,"yes"
97,51,"M",43002,"north",5,16.9,1,2,"yes"
98,20,"F",74482,"south",5,9.2,2,5,"yes"
99,33,"M",44430,"east",2,1,2,4,"yes"
100,36,"F",25003,"east",5,11.9,1,3,"yes"
101,44,"M",71080,"west",4,8.1,4,3,"yes"
102,45,"F",33100,"east",1,11.1,5,6,"yes"
103,37,"F",59059,"west",4,1.5,3,3,"yes"
104,24,"F",57560,"east",4,14.1,3,3,"yes"
105,42,"F",35379,"east",2,22.7,3,6,"yes"
106,19,"M",17721,"north",1,28.2,1,4,"no"
107,50,"M",61422,"south",5,0.5,1,8,"yes"
108,50,"M",111335,"north",5,9.4,5,3,"yes"
109,48,"M",51544,"west",1,8.7,4,2,"no"
110,39,"F",20200,"south",5,4.2,3,4,"yes"
111,33,"M",28353,"north",3,5.1,1,6,"yes"
112,44,"F",41745,"south",5,5.4,1,2,"yes"
113,46,"F",51941,"north",3,1.8,1,5,"yes"
114,45,"M",12312,"south",4,3.1,1,0,"yes"
115,27,"M",28969,"south",3,41.8,3,4,"yes"
116,57,"F",22300,"south",4,14.6,3,4,"yes"
117,23,"M",NA,"south",2,1.1,4,3,"yes"
118,51,"M",42370,"north",2,0,4,3,"yes"
119,50,"F",44842,"west",5,11.9,1,3,"yes"
120,42,"M",45222,"north",3,9.8,2,3,"yes"
121,19,"F",22177,"east",2,0.9,5,3,"yes"
122,57,"M",26023,"east",4,46.1,1,2,"no"
123,46,"M",41239,"south",1,51,3,2,"no"
124,36,"F",24281,"south",5,6,1,0,"yes"
125,47,"F",43542,"west",2,7.5,4,3,"yes"
126,56,"M",52889,"north",3,0.4,2,3,"yes"
127,44,"F",22709,"south",1,2.8,2,3,"no"
128,38,"F",31067,"south",5,0.8,1,8,"yes"
129,20,"F",34871,"north",4,0.4,2,3,"yes"
130,50,"F",49539,"south",1,10.8,3,3,"no"
131,31,"F",43775,"east",1,20.3,3,6,"no"
132,48,"M",29382,"south",5,22.3,1,1,"yes"
133,48,"F",31428,"east",4,4.4,1,7,"yes"
134,42,"F",29987,"east",2,8.1,5,2,"yes"
135,52,"F",57489,"south",5,3.4,1,4,"yes"
136,29,"F",60387,"west",4,7,1,2,"yes"
137,43,"F",51009,"south",5,19.4,5,4,"yes"
138,49,"M",71736,"west",1,3.4,3,2,"no"
139,41,"F",32471,"west",3,12,2,7,"yes"
140,50,"F",49056,"east",3,20.5,1,0,"no"
141,20,"M",33825,"west",5,27.5,3,3,"no"
142,28,"F",49363,"west",4,3.9,2,8,"yes"
143,40,"M",61605,"west",3,11.8,1,1,"yes"
144,40,"F",159651,"east",5,4.6,5,4,"yes"
145,44,"F",50160,"south",4,16.6,1,5,"yes"
146,37,"M",43222,"north",3,10.9,3,2,"no"
147,27,"F",21463,"north",3,48.4,5,0,"yes"
148,44,"F",46629,"north",1,1.7,1,9,"no"
149,42,"M",33956,"south",5,5.6,3,3,"yes"
150,25,"M",19749,"south",5,0.9,1,5,"yes"
151,34,"F",97920,"north",5,22.5,4,7,"yes"
152,51,"M",15183,"north",4,40.6,4,7,"yes"
153,27,"F",42660,"east",3,3.3,1,4,"yes"
154,36,"F",13498,"south",2,5,3,5,"yes"
155,46,"F",52186,NA,5,8.7,2,2,"yes"
156,28,"M",29969,"south",1,21.1,5,9,"yes"
157,19,"M",35227,"south",3,1.1,5,2,"yes"
158,52,"M",17557,"south",4,0.4,1,5,"yes"
159,53,"M",38350,"west",5,1.1,1,7,"yes"
160,38,"M",33833,"east",2,7,1,5,"yes"
161,42,"M",80658,"north",5,23.3,3,7,"yes"
162,39,"F",75169,"south",3,10.7,4,6,"yes"
163,38,"M",35093,"west",4,12.8,4,2,"yes"
164,47,"F",30928,"north",4,3.3,2,6,"yes"
165,51,"M",35979,"north",3,14.6,5,2,"yes"
166,34,"F",18754,"east",4,5.1,1,2,"yes"
167,42,"F",31924,"west",3,1.6,5,2,"yes"
168,46,"M",46006,"north",2,9.7,5,4,"yes"
169,42,"M",57589,"south",3,8.4,3,1,"yes"
170,15,"F",NA,"south",2,4.8,3,5,"no"
171,10,"F",13868,"north",5,14.7,5,5,"yes"
172,44,"M",79283,"north",1,5.5,4,5,"yes"
173,52,"F",21971,"north",3,7.8,4,6,"yes"
174,22,"F",29132,"north",4,0.1,2,3,"yes"
175,45,"F",12404,"east",4,16.3,5,3,"yes"
176,41,"F",37203,"south",5,7.2,2,0,"yes"
177,47,"M",32515,"north",5,10,1,4,"yes"
178,54,"F",30843,"west",1,5.9,2,4,"no"
179,40,"M",44361,"north",5,12.4,5,4,"yes"
180,31,"M",21667,"east",2,13.6,3,4,"no"
181,64,"F",16847,"north",3,14.2,1,4,"no"
182,66,"M",80873,"east",5,6.3,5,5,"yes"
183,52,"M",44074,"east",3,13,5,4,"yes"
184,36,"M",56815,NA,4,6.8,4,4,"yes"
185,44,"M",46613,"north",2,9.7,1,5,"yes"
186,31,"F",27290,"east",1,35.1,2,2,"no"
187,51,"F",26102,"east",4,0.1,1,5,"yes"
188,43,"F",32030,"east",4,6.6,2,3,"yes"
189,16,"M",41201,"west",2,0,5,6,"yes"
190,30,"M",40694,"north",5,20.2,5,1,"yes"
191,15,"F",41645,"west",3,20.2,4,4,"yes"
192,53,"M",62040,"west",1,3.3,5,5,"yes"
193,35,"F",31537,"north",2,5.4,2,3,"yes"
194,25,"F",11045,"east",5,5.8,1,3,"yes"
195,37,"M",48905,"west",5,4.5,3,4,"yes"
196,42,"F",35559,"west",1,8.9,4,2,"yes"
197,27,"M",49820,"east",5,3.2,4,0,"yes"
198,37,"M",64375,"east",4,14.8,5,4,"yes"
199,31,"M",21145,"north",4,7.5,1,8,"yes"
200,46,"F",36724,"south",4,1.7,3,3,"yes"
201,62,"F",38729,"east",4,23.4,5,6,"yes"
202,48,"M",27586,"north",3,10.5,3,6,"yes"
203,38,"F",18160,NA,2,12.3,1,4,"no"
204,45,"F",33833,"south",4,13.4,3,4,"yes"
205,53,"M",22444,"east",1,1.8,2,3,"yes"
206,24,"M",54301,"east",2,21.6,2,2,"no"
207,31,"M",19331,"west",3,1.4,2,5,"yes"
208,43,"F",27343,"west",4,4.7,5,7,"yes"
209,21,"F",26996,"north",3,0.5,1,5,"yes"
210,53,"M",26482,"south",2,5.5,5,10,"yes"
211,38,"F",59141,"west",2,4.1,5,4,"yes"
212,19,"F",52131,"east",1,0.1,1,3,"no"
213,30,"F",52279,"north",1,1.7,1,7,"no"
214,31,"F",82860,"north",3,8.7,3,4,"yes"
215,27,"M",49354,"east",2,18.7,3,4,"no"
216,56,"M",62060,"north",2,8.4,4,8,"yes"
217,36,"M",57553,"east",2,4.3,1,6,"no"
218,39,"F",31166,"east",1,41.5,5,4,"no"
219,26,"F",35787,"west",4,11.7,5,4,"yes"
220,33,"M",34830,"north",5,1.3,1,3,"yes"
221,36,"F",34500,"west",1,30.9,2,3,"no"
222,23,"M",21180,"north",3,1.9,1,3,"yes"
223,49,"F",59730,"north",1,2.9,3,3,"no"
224,44,"F",55881,"west",3,0.3,2,6,"yes"
225,31,"M",25911,"east",4,8.8,2,3,"yes"
226,53,"M",31091,"west",2,49.5,4,4,"no"
227,38,"F",26896,"west",5,0.7,5,4,"yes"
228,28,"F",21624,"south",3,5.3,5,2,"yes"
229,33,"M",63154,"south",3,3.5,3,4,"no"
230,15,"M",39781,"north",4,51.1,2,3,"no"
231,50,"M",36859,"east",4,1.1,2,2,"yes"
232,32,"M",45798,"north",5,19.6,3,6,"yes"
233,38,"M",32282,"south",1,24.5,2,4,"no"
234,35,"M",28879,"east",4,18.8,1,6,"yes"
235,56,"M",17999,"south",4,5.7,2,2,"yes"
236,20,"F",37202,"south",2,33,1,0,"no"
237,38,"F",28358,"south",3,31.5,5,2,"yes"
238,38,"M",39182,"north",2,2.3,3,6,"no"
239,38,"F",32728,"east",3,12.1,2,7,"yes"
240,33,"M",37158,"north",1,3.9,4,3,"yes"
241,33,"F",96188,"south",2,10.5,4,4,"yes"
242,40,"F",34349,"east",3,29.6,1,3,"yes"
243,26,"F",22484,"north",3,10.5,5,2,"yes"
244,57,"M",24628,"north",1,2.4,3,6,"no"
245,34,"F",37777,"south",4,2.4,4,4,"yes"
246,62,"M",17405,"east",1,6.3,2,3,"yes"
247,31,"M",30284,"north",3,12.8,5,6,"yes"
248,37,"F",22025,NA,3,3.6,2,2,"yes"
249,16,"F",47908,"west",4,8.6,2,3,"yes"
250,48,"F",95768,"north",1,3,4,3,"yes"
251,20,"M",29055,"east",2,9.8,4,8,"yes"
252,2,"M",49796,"east",4,62.4,3,4,"no"
253,22,"F",9792,"south",1,4.4,3,4,"no"
254,35,"F",41999,"east",1,10.7,3,3,"yes"
255,33,"F",21470,"west",4,33.9,4,5,"yes"
256,31,"F",60680,"south",4,2.3,3,1,"yes"
257,30,"M",27374,"south",3,18.1,2,6,"yes"
258,59,"F",37621,"east",1,14.8,4,4,"no"
259,38,"M",20557,"north",5,3,3,7,"yes"
260,40,"M",NA,"west",3,1.5,3,1,"yes"
261,29,"F",27119,"south",4,0.5,3,5,"yes"
262,19,"M",24682,"west",4,1.8,5,3,"yes"
263,71,"M",40535,"south",3,1.9,1,2,"yes"
264,51,"M",69438,"south",3,55.3,2,3,"no"
265,49,"M",63280,"south",5,44.6,3,7,"yes"
266,44,"F",26538,"north",2,12.9,2,7,"yes"
267,31,"M",81532,"east",5,9.2,2,3,"yes"
268,39,"F",52135,"west",2,30.3,5,7,"yes"
269,27,"M",44252,"west",5,10.5,1,5,"no"
270,54,"F",20993,"south",3,18,3,3,"yes"
271,48,"F",59405,"south",5,4.3,3,6,"yes"
272,42,"F",23496,"east",5,3.4,2,6,"yes"
273,36,"M",11859,"north",3,31.7,2,4,"yes"
274,25,"M",57586,"north",3,0.5,2,1,"no"
275,40,"M",24971,"south",1,7.2,2,4,"yes"
276,68,"F",51162,"west",1,27.1,2,1,"yes"
277,49,"M",101548,"east",4,3.5,2,4,"yes"
278,47,"M",20984,"east",2,8.5,4,2,"yes"
279,55,"F",28722,"west",2,11.4,4,3,"yes"
280,53,"F",39831,"west",5,24.9,3,5,"yes"
281,63,"F",18039,"north",3,0.6,2,2,"yes"
282,47,"M",36921,"south",2,5.8,4,3,"no"
283,20,"F",36858,"east",1,14.2,3,4,"no"
284,31,"M",23969,"south",2,4,5,3,"yes"
285,40,"F",36628,"north",5,3.7,3,3,"yes"
286,32,"M",26782,"south",3,0.2,1,5,"yes"
287,40,"M",16665,"south",4,2.1,4,5,"yes"
288,43,"F",33476,"north",2,11.5,4,2,"no"
289,36,"F",32104,"south",5,16.6,4,5,"yes"
290,50,"M",33772,"east",5,29.6,2,6,"yes"
291,30,"M",48450,"west",4,17.2,2,6,"yes"
292,58,"F",10772,"east",3,28.9,1,4,"no"
293,25,"F",14709,"north",1,28.5,5,1,"no"
294,38,"M",31939,"west",1,16.4,2,5,"no"
295,16,"M",23353,"south",1,9.2,2,4,"no"
296,38,"M",NA,"north",4,4.1,3,3,"yes"
297,35,"F",16495,"north",1,1.9,4,6,"no"
298,27,"F",35574,"south",1,1.9,2,5,"no"
299,12,"F",NA,"north",5,12.9,1,2,"yes"
300,30,"M",14795,"south",3,5,4,2,"yes"
301,44,"F",21958,"south",3,1.1,2,4,"yes"
302,35,"F",34924,"south",4,9.8,3,2,"yes"
303,39,"F",NA,"north",5,8.3,2,5,"yes"
304,33,"F",38473,"south",1,17.1,2,5,"no"
305,33,"F",19867,"south",2,12.5,4,3,"yes"
306,24,"M",94915,"west",1,4.5,2,4,"no"
307,59,"F",34457,"south",1,6.1,3,2,"no"
308,35,"M",28454,"south",3,17.8,5,2,"yes"
309,26,"M",NA,"north",4,3.1,3,7,"yes"
310,51,"F",19082,"west",4,28.1,1,4,"no"
311,50,"M",18572,"west",3,4.8,1,4,"yes"
312,53,"M",44279,"south",4,19.3,2,1,"yes"
313,59,"M",47355,"east",3,15.5,4,11,"no"
314,6,"M",23226,"north",2,19,1,4,"yes"
315,46,"M",61816,"east",3,0.1,2,4,"yes"
316,52,"M",35047,"south",2,0.1,4,2,"yes"
317,43,"F",13545,"west",1,8.7,2,3,"yes"
318,24,"M",54803,"east",5,16.5,3,0,"yes"
319,34,"M",35400,"south",1,2.4,2,7,"no"
320,20,"F",81241,"north",5,14.9,3,6,"yes"
321,25,"M",33850,"south",1,13.3,3,3,"yes"
322,30,"M",NA,"north",5,0.5,4,4,"yes"
323,65,"M",26067,"west",3,10.5,5,3,"yes"
324,39,"M",57124,"north",4,4.3,5,3,"yes"
325,47,"M",42398,"east",5,51,3,2,"no"
326,31,"M",NA,"north",3,0.9,3,5,"yes"
327,40,"F",63230,"west",3,20.3,5,6,"yes"
328,31,"F",44254,"north",3,12.6,3,8,"yes"
329,26,"F",23860,"south",3,0.2,1,4,"yes"
330,31,"F",65627,"east",4,23.2,4,5,"yes"
331,46,"F",39192,"west",2,22.4,2,2,"no"
332,35,"F",78423,"north",4,2.9,4,6,"yes"
333,49,"F",46851,"north",3,12,4,6,"no"
334,40,"M",37428,"north",3,1.1,5,1,"yes"
335,37,"F",31389,"south",1,0.9,5,5,"yes"
336,27,"F",69799,"south",2,3.3,2,2,"yes"
337,24,"F",36652,"east",2,3.3,1,4,"yes"
338,50,"M",27550,"west",3,13.9,5,2,"yes"
339,39,"F",32069,NA,2,11,5,3,"yes"
340,52,"M",47707,"west",5,8.2,4,3,"yes"
341,27,"M",41406,"west",4,3,2,5,"yes"
342,25,"F",40066,"north",2,5.6,3,3,"no"
343,18,"F",NA,"south",3,0,1,4,"yes"
344,19,"M",27542,"north",3,3.8,2,5,"yes"
345,28,"M",45806,"west",2,6.9,1,2,"no"
346,51,"F",28227,"north",2,15.2,4,5,"yes"
347,53,"M",42054,"west",3,42.8,2,4,"no"
348,40,"M",24766,"east",5,0.5,2,2,"yes"
349,39,"F",160085,"west",1,0.6,5,3,"yes"
350,45,"F",29058,"south",5,25.9,5,1,"yes"
351,44,"M",29878,"south",4,23.8,2,1,"no"
352,37,"M",33035,"east",4,19.4,5,6,"yes"
353,22,"F",57808,"south",3,2.2,5,7,"yes"
354,48,"F",17172,NA,3,1.1,3,4,"yes"
355,34,"F",32244,"west",4,39.8,5,2,"yes"
356,34,"M",43002,"west",1,20.3,4,5,"no"
357,32,"F",37174,NA,3,0.7,4,7,"yes"
358,15,"M",48671,"north",5,4.8,4,2,"yes"
359,27,"F",NA,"east",4,0.8,1,4,"yes"
360,65,"M",36103,"north",3,11.4,2,6,"yes"
361,40,"F",56182,"east",3,17.2,4,2,"yes"
362,10,"F",96317,"east",1,0.5,5,8,"no"
363,37,"M",24563,"south",2,33.8,3,5,"no"
364,39,"F",39451,"west",2,11.3,1,5,"no"
365,47,"F",37452,"east",2,3.8,4,6,"yes"
366,31,"F",NA,"east",1,1.3,1,3,"no"
367,42,"F",22862,"east",2,0.9,5,3,"yes"
368,46,"F",31104,"north",3,3.2,3,1,"yes"
369,63,"F",35824,"south",5,8.7,4,3,"yes"
370,49,"F",NA,"east",5,43.5,4,5,"yes"
371,19,"F",30807,"west",3,2.9,5,4,"yes"
372,50,"M",20593,"west",5,9.2,5,3,"yes"
373,44,"F",33482,"west",2,38.6,1,1,"no"
374,34,"M",20610,"west",3,3.1,1,4,"no"
375,48,"M",42771,"west",2,3.9,5,1,"yes"
376,26,"F",20147,"east",4,4.5,3,3,"yes"
377,45,"F",62592,"east",4,13.5,4,7,"yes"
378,41,"F",NA,"west",1,8.7,1,4,"no"
379,49,"M",41709,"south",5,13.3,2,6,"yes"
380,17,"M",65782,"north",5,3.7,5,1,"yes"
381,20,"F",23139,"east",2,1.3,1,3,"yes"
382,65,"F",65407,"south",1,8.6,1,4,"yes"
383,43,"M",25748,"west",3,1.6,2,5,"yes"
384,46,"M",34574,"north",3,63.7,3,4,"yes"
385,35,"M",11496,"south",3,0.5,4,6,"yes"
386,41,"F",30198,"north",5,3.9,4,4,"yes"
387,11,"M",23697,"south",5,17.6,3,3,"yes"
388,49,"F",29341,"east",1,0.8,1,4,"no"
389,25,"F",29815,"west",5,15.9,1,1,"no"
390,35,"M",26099,"west",2,0.9,5,4,"yes"
391,29,"F",47968,"west",3,0.7,3,2,"yes"
392,41,"F",66722,"west",1,17,5,1,"yes"
393,27,"M",27286,"east",2,39.9,2,4,"yes"
394,31,"M",16137,"east",3,39.9,3,8,"no"
395,41,"M",58704,"east",5,10.8,5,5,"yes"
396,42,"F",43390,"west",5,21.6,1,2,"yes"
397,46,"M",31676,"south",4,33.4,4,8,"no"
398,25,"M",76704,"west",1,5.5,3,6,"yes"
399,29,"M",14079,"north",2,7.6,4,5,"yes"
400,49,"F",70988,"west",2,2.5,1,2,"no"
