Satisfied	colFaminly	colMention	colBackground	colFDC	colAge	colPath	colPath	colRegister
1	No	S	AUSTRALIAN	FDC>5	46-59	DNDD	N	Not Registered
1	Yes	S	AUSTRALIAN	FDC<=5	36-45	DNDD	N	Registered
1	Yes	F	AUSTRALIAN	FDC<=5	36-45	DNDD	N	Registered
0	No	S	AUSTRALIAN	FDC<=5	46-59	DNDD	N	Not Registered
1	Yes	F	AUSTRALIAN	FDC<=5	46-59	DNDD	N	Not Registered
0	No	S	AUSTRALIAN	FDC<=5	60+	DNDD	N	Not Registered
1	Unknown	S	AUSTRALIAN	FDC<=2	26-35	DCDD	C	Not Registered
1	No	F	AUSTRALIAN	FDC<=5	16-25	DNDD	N	Not Registered
1	No	S	AUSTRALIAN	FDC>5	60+	DCDD	C	Not Registered
1	No	S	AUSTRALIAN	FDC<=2	60+	DNDD	N	Registered
1	Yes	S	AUSTRALIAN	FDC<=5	60+	DNDD	N	Not Registered
0	No	S	AUSTRALIAN	FDC<=5	26-35	DCDD	C	Not Registered
0	Unknown	S	AUSTRALIAN	FDC<=5	46-59	DCDD	C	Not Registered
1	Yes	S	AUSTRALIAN	FDC<=2	60+	DCDD	C	Registered
0	No	S	AUSTRALIAN	FDC<=2	<16	DNDD	N	NA
1	Unknown	F	AUSTRALIAN	NA	60+	DCDD	C	Not Registered
0	Yes	S	AUSTRALIAN	FDC>5	36-45	DCDD	C	Registered
1	Unknown	S	AUSTRALIAN	FDC<=2	60+	DCDD	C	Not Registered
0	No	S	AUSTRALIAN	FDC>10	46-59	DCDD	C	Not Registered
1	Yes	S	AUSTRALIAN	FDC>10	46-59	DCDD	C	Registered
0	No	S	AUSTRALIAN	FDC<=5	60+	DCDD	C	Not Registered
1	Yes	S	AUSTRALIAN	FDC<=2	26-35	DNDD	N	Not Registered
1	Yes	F	AUSTRALIAN	FDC<=5	46-59	DCDD	C	NA
1	No	S	AUSTRALIAN	FDC<=2	46-59	DNDD	N	Not Registered
0	Yes	S	AUSTRALIAN	FDC<=5	46-59	DCDD	C	Not Registered
1	Yes	F	AUSTRALIAN	FDC<=2	46-59	DCDD	C	Registered
0	No	S	AUSTRALIAN	FDC<=5	16-25	DCDD	C	Not Registered
1	Yes	S	AUSTRALIAN	FDC<=5	46-59	DNDD	N	Not Registered
0	No	S	AUSTRALIAN	FDC<=5	60+	DNDD	N	Not Registered
1	No	S	AUSTRALIAN	NA	60+	DCDD	C	Not Registered
0	Yes	S	AUSTRALIAN	FDC<=5	60+	DCDD	C	Not Registered
1	No	S	AUSTRALIAN	FDC>5	26-35	DCDD	C	Not Registered
0	No	S	AUSTRALIAN	FDC<=5	36-45	DNDD	N	Registered
1	No	F	AUSTRALIAN	FDC<=5	16-25	DCDD	C	Not Registered
0	No	S	AUSTRALIAN	FDC<=5	60+	DCDD	C	Not Registered
0	Yes	S	AUSTRALIAN	FDC<=5	60+	DNDD	N	Not Registered
1	Yes	S	AUSTRALIAN	FDC<=2	46-59	DCDD	C	Not Registered
0	Yes	S	AUSTRALIAN	FDC<=2	46-59	DCDD	C	Not Registered
1	No	S	AUSTRALIAN	FDC<=5	60+	DCDD	C	Registered
0	Unknown	S	AUSTRALIAN	FDC<=5	60+	DNDD	N	Not Registered
0	No	F	AUSTRALIAN	FDC<=5	46-59	DCDD	C	NA
1	No	S	AUSTRALIAN	FDC<=2	60+	DCDD	C	Registered
1	Yes	F	AUSTRALIAN	FDC<=5	26-35	DNDD	N	Registered
0	Unknown	S	AUSTRALIAN	NA	36-45	DNDD	N	Registered
0	No	S	AUSTRALIAN	FDC<=5	36-45	DCDD	C	Not Registered
0	Yes	F	AUSTRALIAN	NA	36-45	DNDD	N	Registered
1	Yes	F	AUSTRALIAN	FDC>5	60+	DNDD	N	Registered
0	Yes	S	AUSTRALIAN	FDC<=5	60+	DCDD	C	Not Registered
1	No	S	AUSTRALIAN	FDC<=2	60+	DNDD	N	Not Registered
0	Yes	S	AUSTRALIAN	FDC<=5	26-35	DCDD	C	Not Registered
1	Yes	F	AUSTRALIAN	FDC<=2	60+	DNDD	N	Registered
1	Yes	F	AUSTRALIAN	FDC<=2	26-35	DCDD	C	Not Registered
0	Yes	S	AUSTRALIAN	FDC<=2	16-25	DCDD	C	Not Registered
0	Yes	S	AUSTRALIAN	FDC<=5	46-59	DCDD	C	Not Registered
0	Unknown	S	AUSTRALIAN	NA	60+	DCDD	C	Not Registered
0	Yes	S	AUSTRALIAN	FDC<=5	46-59	DCDD	C	Not Registered
0	Unknown	S	AUSTRALIAN	FDC<=2	60+	DCDD	C	Not Registered
1	Yes	F	AUSTRALIAN	FDC<=2	60+	DCDD	C	Registered
0	Yes	S	AUSTRALIAN	FDC<=5	46-59	DNDD	N	Registered
0	No	S	AUSTRALIAN	FDC<=5	60+	DCDD	C	Not Registered
0	Yes	S	AUSTRALIAN	FDC<=5	60+	DCDD	C	Not Registered
1	Yes	F	AUSTRALIAN	FDC>5	60+	DNDD	N	Registered
1	Yes	S	AUSTRALIAN	FDC<=5	60+	DNDD	N	Registered
1	Unknown	S	AUSTRALIAN	FDC<=2	<16	DNDD	N	NA
0	Yes	S	AUSTRALIAN	FDC<=5	60+	DCDD	C	Not Registered
1	Unknown	S	AUSTRALIAN	NA	60+	DNDD	N	Registered
0	Yes	S	AUSTRALIAN	NA	36-45	DNDD	N	Not Registered
1	Yes	F	AUSTRALIAN	FDC>10	46-59	DNDD	N	Not Registered
1	Yes	S	AUSTRALIAN	FDC<=5	60+	DNDD	N	Registered
1	Yes	F	AUSTRALIAN	NA	46-59	DNDD	N	Not Registered
0	Yes	S	AUSTRALIAN	FDC<=5	46-59	DNDD	N	Registered
1	Yes	S	AUSTRALIAN	FDC<=5	60+	DNDD	N	Not Registered
1	Yes	S	AUSTRALIAN	FDC<=2	60+	DNDD	N	Registered
0	Yes	F	AUSTRALIAN	FDC<=2	60+	DCDD	C	Registered
0	Yes	S	AUSTRALIAN	FDC<=2	60+	DCDD	C	NA
1	Yes	F	AUSTRALIAN	NA	60+	DNDD	N	Registered
1	No	S	AUSTRALIAN	FDC<=2	36-45	DNDD	N	Not Registered
1	Yes	S	AUSTRALIAN	FDC<=5	36-45	DCDD	C	Not Registered
1	Yes	S	AUSTRALIAN	NA	60+	DCDD	C	Registered
1	Yes	S	AUSTRALIAN	FDC<=5	26-35	DNDD	N	Registered
1	Unknown	S	AUSTRALIAN	FDC<=5	16-25	DNDD	N	Registered
0	Yes	F	AUSTRALIAN	FDC>10	46-59	DCDD	C	Registered
0	Yes	S	AUSTRALIAN	FDC<=5	26-35	DCDD	C	Registered
1	Yes	S	AUSTRALIAN	FDC<=2	46-59	DCDD	C	Not Registered
1	Yes	F	AUSTRALIAN	FDC<=5	46-59	DNDD	N	Not Registered
1	Yes	S	AUSTRALIAN	FDC>5	60+	DCDD	C	Registered
1	Yes	S	AUSTRALIAN	FDC<=5	46-59	DNDD	N	Registered
0	No	S	AUSTRALIAN	FDC<=5	36-45	DCDD	C	Not Registered
0	Yes	F	AUSTRALIAN	FDC<=2	36-45	DCDD	C	Not Registered
1	Yes	S	AUSTRALIAN	FDC>5	46-59	DNDD	N	Registered
1	Yes	F	AUSTRALIAN	FDC>5	46-59	DCDD	C	Not Registered
1	Yes	S	AUSTRALIAN	FDC>5	26-35	DNDD	N	Not Registered
1	Yes	S	AUSTRALIAN	FDC<=5	60+	DCDD	C	Registered
0	Unknown	S	AUSTRALIAN	FDC<=2	60+	DCDD	C	Not Registered
1	Yes	S	AUSTRALIAN	FDC<=2	60+	DNDD	N	Registered
1	Yes	S	AUSTRALIAN	NA	16-25	DCDD	C	Not Registered
0	Yes	F	AUSTRALIAN	FDC<=5	26-35	DCDD	C	Not Registered
0	Yes	S	AUSTRALIAN	FDC<=5	36-45	DNDD	N	Not Registered
1	Yes	S	AUSTRALIAN	FDC<=2	60+	DNDD	N	Registered
0	No	S	AUSTRALIAN	FDC<=2	26-35	DCDD	C	NA
1	Yes	S	AUSTRALIAN	FDC<=5	36-45	DNDD	N	Registered
1	Yes	S	AUSTRALIAN	FDC>5	60+	DCDD	C	Not Registered
0	No	S	AUSTRALIAN	NA	60+	DCDD	C	Not Registered
0	Yes	NA	AUSTRALIAN	FDC<=2	60+	DCDD	C	NA
1	Yes	F	AUSTRALIAN	FDC>5	60+	DNDD	N	Registered
1	Yes	F	AUSTRALIAN	FDC>5	16-25	DNDD	N	Not Registered
1	Yes	S	AUSTRALIAN	FDC>10	46-59	DCDD	C	Registered
1	No	S	AUSTRALIAN	FDC<=2	<16	DCDD	C	NA
1	Yes	S	AUSTRALIAN	FDC<=5	60+	DNDD	N	Not Registered
0	Yes	S	AUSTRALIAN	FDC<=5	46-59	DNDD	N	Not Registered
1	Yes	F	AUSTRALIAN	FDC<=5	60+	DCDD	C	Registered
1	Yes	F	AUSTRALIAN	FDC<=5	46-59	DNDD	N	Not Registered
0	Unknown	S	AUSTRALIAN	NA	46-59	DCDD	C	Not Registered
1	Yes	S	AUSTRALIAN	FDC<=2	46-59	DCDD	C	Not Registered
0	Unknown	S	AUSTRALIAN	FDC<=2	36-45	DCDD	C	Not Registered
1	Yes	S	AUSTRALIAN	FDC>10	26-35	DNDD	N	Registered
1	Yes	F	AUSTRALIAN	FDC<=2	16-25	DNDD	N	Not Registered
0	Yes	S	AUSTRALIAN	FDC<=5	60+	DCDD	C	Registered
1	Yes	F	AUSTRALIAN	FDC>5	16-25	DCDD	C	Not Registered
1	Yes	F	AUSTRALIAN	FDC<=5	46-59	DNDD	N	Registered
1	Yes	F	AUSTRALIAN	FDC<=2	60+	DCDD	C	Not Registered
1	No	S	AUSTRALIAN	FDC>10	26-35	DNDD	N	Not Registered
1	Yes	S	AUSTRALIAN	FDC>10	60+	DCDD	C	Registered
1	Yes	F	AUSTRALIAN	FDC<=5	60+	DNDD	N	Registered
0	Yes	S	AUSTRALIAN	NA	60+	DCDD	C	Not Registered
1	Yes	S	AUSTRALIAN	FDC<=5	26-35	DNDD	N	Not Registered
0	No	S	AUSTRALIAN	FDC>5	46-59	DCDD	C	Not Registered
0	Yes	S	AUSTRALIAN	FDC<=2	60+	DNDD	N	Not Registered
1	No	S	AUSTRALIAN	FDC<=5	60+	DNDD	N	Not Registered
1	No	S	AUSTRALIAN	FDC<=5	46-59	DCDD	C	Not Registered
0	Yes	S	AUSTRALIAN	FDC<=2	60+	DCDD	C	Not Registered
1	Yes	F	AUSTRALIAN	FDC<=5	36-45	DNDD	N	Registered
0	Yes	S	AUSTRALIAN	FDC<=5	60+	DCDD	C	Registered
0	Yes	S	AUSTRALIAN	FDC<=5	46-59	DCDD	C	Not Registered
0	Yes	S	AUSTRALIAN	FDC<=2	16-25	DNDD	N	Not Registered
1	Yes	S	AUSTRALIAN	FDC<=2	46-59	DNDD	N	Registered
0	Yes	S	AUSTRALIAN	FDC>10	46-59	DNDD	N	Not Registered
1	Yes	S	AUSTRALIAN	FDC<=2	60+	DNDD	N	Not Registered
0	Unknown	S	AUSTRALIAN	FDC<=2	60+	DCDD	C	Not Registered
1	Yes	S	AUSTRALIAN	NA	16-25	DCDD	C	Registered
0	Unknown	S	AUSTRALIAN	NA	60+	DNDD	N	Not Registered
1	Unknown	S	AUSTRALIAN	NA	46-59	DCDD	C	Registered
1	Yes	F	AUSTRALIAN	FDC>5	16-25	DNDD	N	Registered
0	Yes	F	AUSTRALIAN	FDC>5	46-59	DCDD	C	Registered
0	Yes	S	AUSTRALIAN	FDC<=5	60+	DCDD	C	Not Registered
1	Yes	F	AUSTRALIAN	FDC<=5	60+	DNDD	N	Registered
1	No	S	AUSTRALIAN	FDC<=5	60+	DNDD	N	Not Registered
1	Yes	F	AUSTRALIAN	FDC>5	60+	DNDD	N	Not Registered
1	Unknown	S	AUSTRALIAN	FDC>5	60+	DCDD	C	Not Registered
1	Yes	F	AUSTRALIAN	FDC>5	60+	DCDD	C	Registered
1	Yes	S	AUSTRALIAN	FDC<=5	36-45	DNDD	N	Registered
0	No	S	AUSTRALIAN	FDC>5	60+	DCDD	C	Not Registered
1	Yes	F	AUSTRALIAN	FDC<=5	36-45	DNDD	N	Not Registered
1	Yes	S	AUSTRALIAN	FDC>10	26-35	DNDD	N	Registered
1	Yes	S	AUSTRALIAN	FDC<=5	46-59	DNDD	N	Registered
1	Yes	F	AUSTRALIAN	FDC<=5	46-59	DNDD	N	Registered
0	Yes	S	AUSTRALIAN	FDC<=2	36-45	DCDD	C	Not Registered
0	No	S	AUSTRALIAN	FDC>5	16-25	DNDD	N	Not Registered
0	No	S	AUSTRALIAN	NA	36-45	DCDD	C	Not Registered
0	Yes	S	AUSTRALIAN	NA	60+	DCDD	C	Not Registered
0	Unknown	S	AUSTRALIAN	FDC<=5	<16	DNDD	N	NA
1	Yes	F	AUSTRALIAN	FDC>5	46-59	DCDD	C	Registered
1	Yes	S	AUSTRALIAN	FDC<=2	60+	DNDD	N	Not Registered
1	Unknown	S	AUSTRALIAN	FDC<=2	60+	DNDD	N	Not Registered
0	No	S	AUSTRALIAN	FDC<=5	16-25	DNDD	N	NA
0	No	S	AUSTRALIAN	FDC<=5	60+	DCDD	C	Not Registered
0	No	S	AUSTRALIAN	FDC>5	46-59	DCDD	C	Registered
0	Unknown	F	AUSTRALIAN	FDC>5	46-59	DNDD	N	Not Registered
0	No	F	AUSTRALIAN	FDC<=2	<16	DNDD	N	NA
1	Yes	S	AUSTRALIAN	FDC<=5	60+	DNDD	N	Registered
1	No	S	AUSTRALIAN	FDC<=2	46-59	DNDD	N	Not Registered
0	Yes	S	AUSTRALIAN	FDC<=5	46-59	DCDD	C	Not Registered
1	Yes	S	AUSTRALIAN	FDC>5	46-59	DNDD	N	Registered
1	Yes	S	AUSTRALIAN	NA	36-45	DNDD	N	Not Registered
1	Yes	S	AUSTRALIAN	FDC<=2	46-59	DCDD	C	Not Registered
1	Yes	S	AUSTRALIAN	FDC<=5	26-35	DCDD	C	Not Registered
0	Unknown	S	AUSTRALIAN	FDC>10	46-59	DNDD	N	Not Registered
1	Yes	F	AUSTRALIAN	FDC<=5	46-59	DCDD	C	Not Registered
0	No	S	AUSTRALIAN	FDC<=5	36-45	DNDD	N	Not Registered
0	Unknown	F	AUSTRALIAN	NA	60+	DCDD	C	Not Registered
1	Yes	F	AUSTRALIAN	FDC<=5	46-59	DCDD	C	Not Registered
1	Yes	F	AUSTRALIAN	FDC<=2	36-45	DNDD	N	Not Registered
0	Yes	S	AUSTRALIAN	NA	60+	DCDD	C	Not Registered
0	No	S	AUSTRALIAN	FDC<=5	46-59	DNDD	N	Not Registered
1	No	S	AUSTRALIAN	FDC<=5	36-45	DNDD	N	Registered
0	Yes	S	AUSTRALIAN	FDC>5	46-59	DNDD	N	Not Registered
0	No	S	AUSTRALIAN	FDC>10	60+	DCDD	C	Not Registered
